Alias,Name
BEN,OBI-WAN
SEE-THREEPIO,C-3PO
THREEPIO,C-3PO
ARTOO-DETOO,R2-D2
ARTOO,R2-D2
PALPATINE,EMPEROR
DARTH SIDIOUS,EMPEROR
BAIL,BAIL ORGANA
MACE,MACE WINDU
WINDU,MACE WINDU
MACE-WINDU,MACE WINDU
NUTE,NUTE GUNRAY
AUNT BERU,BERU
DOOKU,COUNT DOOKU
BOBA,BOBA FETT
JANGO,JANGO FETT
PANAKA,CAPTAIN PANAKA
NUTE,NUTE GUNRAY
KI-ADI,KI-ADI-MUNDI
BIBBLE,SIO BIBBLE
BIB,BIB FORTUNA
CHEWIE,CHEWBACCA
VADER,DARTH VADER
QUEEN LEIA,LEIA
KIRA,REY
GLEESON,THE GENERAL
SERKIS,UBER
BEEBEE-ATE,BB-8
FN-2187,FINN
YOUNG GIRL,REY
UNKAR PLUTT,UNKAR
POE DAMERON,POE
SUPREME LEADER SNOKE,SNOKE
